ward,month,forecast
Belmore,2025-11-01,8.267412267192716
Belmore,2025-12-01,8.228424574077573
Belmore,2026-01-01,8.18943688096243
Belmore,2026-02-01,8.150449187847288
Belmore,2026-03-01,8.111461494732145
Belsize,2025-04-01,10.868520282725209
Belsize,2025-05-01,10.985158752503215
Belsize,2025-06-01,11.09232601599283
Belsize,2025-07-01,11.190791148343342
Belsize,2025-08-01,11.281260774730166
Belsize,2025-09-01,11.364384141379752
Belsize,2025-10-01,11.440757774820197
Belsize,2025-11-01,11.510929762794227
Belsize,2025-12-01,11.575403687556065
Belsize,2026-01-01,11.634642239779119
Belsize,2026-02-01,11.68907053900933
Belsize,2026-03-01,11.739079184493082
Belvedere,2025-04-01,7.742306701217809
Belvedere,2025-05-01,8.898673927644575
Belvedere,2025-06-01,9.255989687445553
Belvedere,2025-07-01,9.36639972785864
Belvedere,2025-08-01,9.400516266773156
Belvedere,2025-09-01,9.411058226753887
Belvedere,2025-10-01,9.414315676769956
Belvedere,2025-11-01,9.415322223998992
Belvedere,2025-12-01,9.415633245601557
Belvedere,2026-01-01,9.415729350815969
Belvedere,2026-02-01,9.415759047184842
Belvedere,2026-03-01,9.415768223318828
Bensham Manor,2025-04-01,4.78453595891456
Bensham Manor,2025-05-01,5.518442582915842
Bensham Manor,2025-06-01,5.486874576624315
Bensham Manor,2025-07-01,5.455306570332787
Bensham Manor,2025-08-01,5.42373856404126
Bensham Manor,2025-09-01,5.392170557749733
Bensham Manor,2025-10-01,5.360602551458205
Bensham Manor,2025-11-01,5.329034545166678
Bensham Manor,2025-12-01,5.297466538875151
Bensham Manor,2026-01-01,5.265898532583623
